id,person,date,salary,raise_type
1415,275,27/01/2015,"R$ 2.988,20",initial
411,81,19/01/2015,"R$ 1.276,30",initial
1411,274,07/01/2015,"R$ 2.988,20",initial
1561,315,06/01/2015,"R$ 1.412,01",initial
1522,306,01/01/2015,"R$ 8.193,25",raise
1383,269,01/01/2015,"R$ 4.243,43",raise
1354,265,01/01/2015,"R$ 3.092,79",raise
1426,277,01/01/2015,"R$ 2.507,15",raise
1476,293,01/01/2015,"R$ 2.507,15",raise
1578,317,01/01/2015,"R$ 2.422,37",raise
1231,240,01/10/2014,"R$ 2.507,15",raise
503,97,01/10/2014,"R$ 2.422,37",raise
1554,313,04/08/2014,"R$ 2.869,99",initial
1619,332,04/08/2014,"R$ 2.633,01",initial
1321,259,01/08/2014,"R$ 3.943,39",raise
777,138,01/08/2014,"R$ 2.988,20",raise
1368,266,01/08/2014,"R$ 2.133,86",raise
651,118,01/08/2014,"R$ 1.367,21",raise
1382,269,21/07/2014,"R$ 4.099,93",initial
1475,293,07/07/2014,"R$ 2.422,37",initial
1577,317,07/07/2014,"R$ 1.863,36",initial
669,119,04/06/2014,"R$ 1.917,86",initial
1521,306,01/05/2014,"R$ 7.916,19",raise
628,116,01/05/2014,"R$ 5.711,95",raise
1435,278,01/05/2014,"R$ 4.328,38",raise
1551,312,01/05/2014,"R$ 3.479,39",raise
567,108,01/05/2014,"R$ 3.279,94",raise
1482,294,01/05/2014,"R$ 3.248,05",raise
1320,259,01/05/2014,"R$ 3.201,04",raise
1353,265,01/05/2014,"R$ 2.988,20",raise
1511,302,01/05/2014,"R$ 2.919,26",raise
1250,242,01/05/2014,"R$ 2.779,72",raise
1519,305,01/05/2014,"R$ 2.685,72",raise
776,138,01/05/2014,"R$ 2.594,90",raise
1230,240,01/05/2014,"R$ 2.422,37",raise
1398,272,01/05/2014,"R$ 2.422,37",raise
1425,277,01/05/2014,"R$ 2.422,37",raise
1367,266,01/05/2014,"R$ 2.061,70",raise
502,97,01/05/2014,"R$ 1.863,36",raise
1487,295,01/05/2014,"R$ 1.415,06",raise
650,118,01/05/2014,"R$ 1.276,30",raise
1445,281,01/05/2014,"R$ 1.276,30",raise
1223,86,01/05/2014,"R$ 1.230,48",raise
1449,283,01/05/2014,"R$ 1.151,15",raise
1518,305,17/03/2014,"R$ 2.440,06",initial
